Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [CHIVI],Price [CHIVI],In stock [CHIVI],Low stock [CHIVI]
atcheke-poisson-bar-2000,10017,Atcheke Poisson Bar 2000,NOS PRODUITS,"<p>Atcheke: 228 Poisson Bar 650 Alloco: 56 Jus (oignon 25, une tomate 35, Comcombre 25, Poivre 10, vinaigre10, sel 5, cube 5, Huile total pour atcheke poisson et jus 150, mayonnaise 50)315, sachet bol piment plat 157 &nbsp;TOTAL: 1406</p>",N,,,,,,,1406,,,,N,Y,2000,,
atcheke-poisson-silivi,10016,Atcheke Poisson Silivi Complet,NOS PRODUITS,"<p>Atcheke: 228 Poisson: 500 Alloco: 56 Jus (oignon 25, une tomate 35, Comcombre 25, Poivre 10, vinaigre10, sel 5, cube 5, Huile total pour atcheke poisson et jus 150, mayonnaise 50)315, sachet 10 bol piment 15 Cuillere 15 plat 45 &nbsp;TOTAL: 1184</p>",N,,,,,,,1184,,,,N,Y,1500,,
atcheke-poulet-mayo,10038,Atcheke poulet mayo,NOS PRODUITS,"<p>Atcheke: 228 Poulet mayo (Poulet 730 Mayo 200 Tomate 25 Poivron 50, Oignon 25 Cube 10 Sel 10 Poivre 10) 1060 Alloco: 56 Jus (oignon 25, une tomate 35, Comcombre 25, Poivre 10, vinaigre10, sel 5, cube 5, Huile total pour atcheke poisson et jus 150, mayonnaise 50)315, sachet bol piment plat 157 &nbsp;TOTAL: 1816</p>",N,,,,,,,1816,,,,N,Y,2500,,
boîte-piment,10029,Boîte Piment,STOCKS,,N,,,,,,,12,,,,N,Y,variable,,
coca-cola,10043,Coca cola,,,N,,,,,,,300,,,,N,Y,500,,
couscous-sauce-marocaine-aileron-saucisse,10052,Couscous sauce marocaine Aileron Saucisse,NOS PRODUITS,<p>Couscous 150 Aileron 900 saucisse 100 &nbsp;Raison sec 100 sauce(chou 50 carotte 25 Pomme 50 Poivron 25 Sauce tomate 200 ): 350 Plat 157 = 1757</p>,N,,,,,,,1757,,,,N,Y,2500,,
cuillère,10028,Cuillère,STOCKS,,N,,,,,,,15,,,,N,Y,15,,
cuisse-de-poulet,10005,Cuisse de poulet,STOCKS,,N,,,,,,,482,,,,N,Y,482,,
cuisse-de-poulet-1,10077,Cuisse de poulet,NOS PRODUITS,,N,,,,,,,600,,,,N,Y,1000,,
emballage-sachet,10035,Emballage sachet,STOCKS,,N,,,,,,,30,,,,N,Y,variable,,
frite-poulet,10048,Frite Alloco cuisse de poulet,NOS PRODUITS,<p>Frites: 342 Alloco 168 Plat 157 Cuisse de poulet 692 = 1567</p>,N,,,,,,,1359,,,,N,Y,2000,,
frite-alloco-poisson-braisée,10057,Frite Alloco Poisson Braisée,NOS PRODUITS,<p>Frites: 342 Alloco 168 Plat 157 Poisson silivi 500 = 1167</p>,N,,,,,,,1167,,,,N,Y,2000,,
frite-alloco-viande-de-mouton,10039,Frite Alloco Viande de Mouton,NOS PRODUITS,<p>Frites: 342 Alloco 168 Plat 157 viande de mouton 500 = 1167</p>,N,,,,,,,0,,,,N,Y,3000,,
frites-alloco-aileron,10053,Frites Alloco Aileron,NOS PRODUITS,<p>Frites: 342 Alloco 168 Plat 157 Aileron 900 = 1567</p>,N,,,,,,,1567,,,,N,Y,2000,,
